FinalID,EffectiveEffortLevel_SAFIT1,EffectiveEffortLevel_SAFIT2,Class,Order,ToleranceValue,FunctionalFeedingGroup
Cricotopus/ Orthocladius,Chironomidae,Cricotopus/ Orthocladius,Insecta,Diptera,,SH
Cryptochia,Cryptochia,Cryptochia,Insecta,Trichoptera,0,SH
Cryptochia califca,Cryptochia,Cryptochia,Insecta,Trichoptera,0,SH
Cryptochia denningi,Cryptochia,Cryptochia,Insecta,Trichoptera,0,SH
Cryptochia excella,Cryptochia,Cryptochia,Insecta,Trichoptera,0,SH
Cryptochia furcata,Cryptochia,Cryptochia,Insecta,Trichoptera,0,SH
Cryptochia neosa,Cryptochia,Cryptochia,Insecta,Trichoptera,0,SH
Cryptochia pilosa,Cryptochia,Cryptochia,Insecta,Trichoptera,0,SH
Cryptochia shasta,Cryptochia,Cryptochia,Insecta,Trichoptera,0,SH
Cryptochironomus,Chironomidae,Cryptochironomus,Insecta,Diptera,8,P
Cryptochironomus curryi,Chironomidae,Cryptochironomus,Insecta,Diptera,8,P
Cryptochironomus digitatus,Chironomidae,Cryptochironomus,Insecta,Diptera,8,P
Cryptochironomus fulvus,Chironomidae,Cryptochironomus,Insecta,Diptera,8,P
Cryptochironomus ponderosus,Chironomidae,Cryptochironomus,Insecta,Diptera,8,P
Cryptochironomus psittacinus,Chironomidae,Cryptochironomus,Insecta,Diptera,8,P
Cryptolabis,Cryptolabis,Cryptolabis,Insecta,Diptera,3,SH
Cryptotendipes,Chironomidae,Cryptotendipes,Insecta,Diptera,6,CG
Cryptotendipes ariel,Chironomidae,Cryptotendipes,Insecta,Diptera,6,CG
Cryptotendipes darbyi,Chironomidae,Cryptotendipes,Insecta,Diptera,6,CG
Culex,Culex,Culex,Insecta,Diptera,8,CG
Culex anips,Culex,Culex,Insecta,Diptera,8,CG
Culex apicalis,Culex,Culex,Insecta,Diptera,8,CG
Culex arizonensis,Culex,Culex,Insecta,Diptera,8,CG
Culex boharti,Culex,Culex,Insecta,Diptera,8,CG
Culex coronator,Culex,Culex,Insecta,Diptera,8,CG
Culex erythrothorax,Culex,Culex,Insecta,Diptera,8,CG
Culex interrogator,Culex,Culex,Insecta,Diptera,8,CG
Culex pipiens,Culex,Culex,Insecta,Diptera,8,CG
Culex quinquefasciatus,Culex,Culex,Insecta,Diptera,8,CG
Culex reevesi,Culex,Culex,Insecta,Diptera,8,CG
Culex restuans,Culex,Culex,Insecta,Diptera,8,CG
Culex salinarius,Culex,Culex,Insecta,Diptera,8,CG
Culex stigmatosoma,Culex,Culex,Insecta,Diptera,8,CG
Culex tarsalis,Culex,Culex,Insecta,Diptera,8,CG
Culex territans,Culex,Culex,Insecta,Diptera,8,CG
Culex thriambus,Culex,Culex,Insecta,Diptera,8,CG
Culicidae,Culicidae,Culicidae,Insecta,Diptera,8,CG
Culicoides,Culicoides,Culicoides,Insecta,Diptera,6,P
Culiseta,Culiseta,Culiseta,Insecta,Diptera,8,CG
Culiseta impatiens,Culiseta,Culiseta,Insecta,Diptera,8,CG
Culiseta incidens,Culiseta,Culiseta,Insecta,Diptera,8,CG
Culiseta inornata,Culiseta,Culiseta,Insecta,Diptera,8,CG
Culiseta minnesotae,Culiseta,Culiseta,Insecta,Diptera,8,CG
Culiseta morsitans,Culiseta,Culiseta,Insecta,Diptera,8,CG
Culiseta particeps,Culiseta,Culiseta,Insecta,Diptera,8,CG
Culoptila,Culoptila,Culoptila,Insecta,Trichoptera,2,SC
Culoptila cantha,Culoptila,Culoptila,Insecta,Trichoptera,2,SC
Culoptila kimminsi,Culoptila,Culoptila,Insecta,Trichoptera,2,SC
Culoptila moselyi,Culoptila,Culoptila,Insecta,Trichoptera,2,SC
Culoptila thoracica,Culoptila,Culoptila,Insecta,Trichoptera,2,SC
Cultus,Cultus,Cultus,Insecta,Plecoptera,2,P
Cultus aestivalis,Cultus,Cultus,Insecta,Plecoptera,2,P
Cultus pilatus,Cultus,Cultus,Insecta,Plecoptera,2,P
Cultus tostonus,Cultus,Cultus,Insecta,Plecoptera,2,P
Cura,Turbellaria,Turbellaria,Turbellaria,Tricladida,4,OM
Curculionidae,Curculionidae,Curculionidae,Insecta,Coleoptera,,SH
Curicta,Curicta,Curicta,Insecta,Hemiptera,,P
Curicta pronotata,Curicta,Curicta,Insecta,Hemiptera,,P
Cyathura,Cyathura,Cyathura,Malacostraca,Isopoda,,CG
Cyathura polita,Cyathura,Cyathura,Malacostraca,Isopoda,,CG
Cybister,Cybister,Cybister,Insecta,Coleoptera,5,P
Cybister ellipticus,Cybister,Cybister,Insecta,Coleoptera,5,P
Cybister explanatus,Cybister,Cybister,Insecta,Coleoptera,5,P
Cyclopidae,Cyclopidae,Cyclopidae,Copepoda,Cyclopoida,8,CG
Cyclopoida,Cyclopoida,Cyclopoida,Copepoda,Cyclopoida,8,CF
Cyclothyas,Cyclothyas,Cyclothyas,Arachnida,Trombidiformes,5,P
Cylloepus,Cylloepus,Cylloepus,Insecta,Coleoptera,4,CG
Cylloepus abnormis,Cylloepus,Cylloepus,Insecta,Coleoptera,4,CG
Cylloepus parkeri,Cylloepus,Cylloepus,Insecta,Coleoptera,4,CG
Cymbiodyta,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta acuminata,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta acuminata,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta arizonica,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta arizonica,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta columbiana,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta columbiana,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta dorsalis,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta dorsalis,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta fraterculus,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta fraterculus,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta howdeni,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta howdeni,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta imbellis,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta imbellis,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta leechi,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta leechi,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta minima,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta minima,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta occidentalis,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta occidentalis,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta pacifica,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta pacifica,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta pseudopacifica,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta pseudopacifica,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta puella,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta puella,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta punctatostriata,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta punctatostriata,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta seriata,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cymbiodyta seriata,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta vindicata,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,CG
Cymbiodyta vindicata,Cymbiodyta,Cymbiodyta,Insecta,Coleoptera,5,P
Cyphon,Cyphon,Cyphon,Insecta,Coleoptera,7,SC
Cyphon arcuatus,Cyphon,Cyphon,Insecta,Coleoptera,7,SC
Cyphon brevicollis,Cyphon,Cyphon,Insecta,Coleoptera,7,SC
Cyphon exiguus,Cyphon,Cyphon,Insecta,Coleoptera,7,SC
Cyphon johni,Cyphon,Cyphon,Insecta,Coleoptera,7,SC
Cyphon spinulosus,Cyphon,Cyphon,Insecta,Coleoptera,7,SC
Cyphon variabilis,Cyphon,Cyphon,Insecta,Coleoptera,7,SC
Cyprididae,Ostracoda,Podocopida,Ostracoda,Podocopida,8,CG
Daphnia,Daphniidae,Daphniidae,Malacostraca,Cladocera,8,CF
Daphniidae,Daphniidae,Daphniidae,Branchiopoda,Cladocera,8,CF
Dasyhelea,Dasyhelea,Dasyhelea,Insecta,Diptera,6,CG
Dasyheleinae,Ceratopogonidae,Ceratopogonidae,Insecta,Diptera,6,P
Decapoda,Decapoda,Decapoda,Malacostraca,Decapoda,8,SH
Demicryptochironomus,Chironomidae,Demicryptochironomus,Insecta,Diptera,6,CG
Dero,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,10,CG
Dero borellii,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,10,CG
Dero digitata,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,10,CG
Dero nivea,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,10,CG
Derotanypus,Chironomidae,Derotanypus,Insecta,Diptera,7,P
Derotanypus aclines,Chironomidae,Derotanypus,Insecta,Diptera,7,P
Desmona,Desmona,Desmona,Insecta,Trichoptera,1,SH
Desmona bethula,Desmona,Desmona bethula,Insecta,Trichoptera,1,SH
Desmona mono,Desmona,Desmona mono,Insecta,Trichoptera,1,SH
Desmopachria,Desmopachria,Desmopachria,Insecta,Coleoptera,5,P
Desmopachria convexa,Desmopachria,Desmopachria,Insecta,Coleoptera,5,P
Desmopachria dispersa,Desmopachria,Desmopachria,Insecta,Coleoptera,5,P
Desmopachria latissima,Desmopachria,Desmopachria,Insecta,Coleoptera,5,P
Desmopachria mexicana,Desmopachria,Desmopachria,Insecta,Coleoptera,5,P
Desmopachria portmanni,Desmopachria,Desmopachria,Insecta,Coleoptera,5,P
Despaxia,Despaxia,Despaxia,Insecta,Plecoptera,0,SH
Despaxia augusta,Despaxia augusta,Despaxia augusta,Insecta,Plecoptera,0,SH
Deuterophlebia,Deuterophlebia,Deuterophlebia,Insecta,Diptera,0,SC
Deuterophlebia coloradensis,Deuterophlebia,Deuterophlebia,Insecta,Diptera,0,SC
Deuterophlebia inyoensis,Deuterophlebia,Deuterophlebia,Insecta,Diptera,0,SC
Deuterophlebia nielsoni,Deuterophlebia,Deuterophlebia,Insecta,Diptera,0,SC
Deuterophlebia personata,Deuterophlebia,Deuterophlebia,Insecta,Diptera,0,SC
Deuterophlebia shasta,Deuterophlebia,Deuterophlebia,Insecta,Diptera,0,SC
Deuterophlebia vernalis,Deuterophlebia,Deuterophlebia,Insecta,Diptera,0,SC
Deuterophlebiidae,Deuterophlebiidae,Deuterophlebiidae,Insecta,Diptera,0,SC
Diamesa,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa aberrata,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa amplexivirilia,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa ancysta,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa chorea,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa davisi,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa garretti,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa haydaki,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa heteropus,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa japonica,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa leona,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa nivicavernicola,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa sonorae,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesa spinacies,Chironomidae,Diamesa,Insecta,Diptera,5,CG
Diamesinae,Chironomidae,Diamesinae,Insecta,Diptera,2,CG
Dibusa,Dibusa,Dibusa,Insecta,Trichoptera,4,SH
Dicosmoecus,Dicosmoecus,Dicosmoecus,Insecta,Trichoptera,1,OM
Dicosmoecus atripes,Dicosmoecus,Dicosmoecus atripes,Insecta,Trichoptera,1,OM
Dicosmoecus gilvipes,Dicosmoecus,Dicosmoecus gilvipes,Insecta,Trichoptera,2,SC
Dicosmoecus pallicornis,Dicosmoecus,Dicosmoecus pallicornis,Insecta,Trichoptera,1,OM
Dicranota,Dicranota,Dicranota,Insecta,Diptera,3,P
Dicrotendipes,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CG
Dicrotendipes adnilus,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CG
Dicrotendipes aethiops,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CG
Dicrotendipes californicus,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CG
Dicrotendipes crypticus,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CG
Dicrotendipes fumidus,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CG
Dicrotendipes milleri,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CG
Dicrotendipes modestus,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CF
Dicrotendipes nervosus,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CF
Dicrotendipes tritomus,Chironomidae,Dicrotendipes,Insecta,Diptera,8,CF
Dina,Dina,Dina,Hirudinea,Arhynchobdellida,8,P
Dineutus,Dineutus,Dineutus,Insecta,Coleoptera,4,P
Dineutus solitarius,Dineutus,Dineutus,Insecta,Coleoptera,4,P
Dineutus sublineatus,Dineutus,Dineutus sublineatus,Insecta,Coleoptera,4,P
Diphetor,Diphetor,Diphetor,Insecta,Ephemeroptera,5,CG
Diphetor hageni,Diphetor hageni,Diphetor hageni,Insecta,Ephemeroptera,5,CG
Diplectrona,Diplectrona,Diplectrona,Insecta,Trichoptera,0,CF
Diplectrona californica,Diplectrona californica,Diplectrona californica,Insecta,Trichoptera,0,CF
Diplocladius,Chironomidae,Diplocladius,Insecta,Diptera,5,CG
Disonycha,Disonycha,Disonycha,Insecta,Coleoptera,,SH
Diura,Diura,Diura,Insecta,Plecoptera,2,P
Diura knowltoni,Diura knowltoni,Diura knowltoni,Insecta,Plecoptera,2,P
Dixa,Dixa,Dixa,Insecta,Diptera,2,CG
Dixella,Dixella,Dixella,Insecta,Diptera,2,CG
Dixidae,Dixidae,Dixidae,Insecta,Diptera,2,CG
Djalmabatista,Chironomidae,Djalmabatista,Insecta,Diptera,7,P
Djalmabatista pulcher,Chironomidae,Djalmabatista,Insecta,Diptera,7,P
Doddsia,Doddsia,Doddsia,Insecta,Plecoptera,2,OM
Doddsia occidentalis,Doddsia occidentalis,Doddsia occidentalis,Insecta,Plecoptera,2,OM
Doithrix,Chironomidae,Doithrix,Insecta,Diptera,5,CG
Doithrix barberi,Chironomidae,Doithrix,Insecta,Diptera,5,CG
Doithrix ensifer,Chironomidae,Doithrix,Insecta,Diptera,5,CG
Dolichopodidae,Dolichopodidae,Dolichopodidae,Insecta,Diptera,4,P
Dolophilodes,Dolophilodes,Dolophilodes,Insecta,Trichoptera,2,CF
Dolophilodes aequalis,Dolophilodes,Dolophilodes,Insecta,Trichoptera,2,CF
Dolophilodes andora,Dolophilodes,Dolophilodes,Insecta,Trichoptera,2,CF
Dolophilodes columbia,Dolophilodes,Dolophilodes,Insecta,Trichoptera,2,CF
Dolophilodes dorcus,Dolophilodes,Dolophilodes,Insecta,Trichoptera,2,CF
Dolophilodes novusamericanus,Dolophilodes,Dolophilodes,Insecta,Trichoptera,2,CF
Dolophilodes pallidipes,Dolophilodes,Dolophilodes,Insecta,Trichoptera,2,CF
Dolophilodes/ Sisko,Dolophilodes/ Sisko,Dolophilodes/ Sisko,Insecta,Trichoptera,3,CF
Donacia,Donacia,Donacia,Insecta,Coleoptera,,SH
Doroneuria,Doroneuria,Doroneuria,Insecta,Plecoptera,1,P
Doroneuria baumanni,Doroneuria baumanni,Doroneuria baumanni,Insecta,Plecoptera,1,P
Dreissena,Dreissena,Dreissena,Bivalvia,Veneroida,,CF
Dreissena bugensis,Dreissena,Dreissena bugensis,Bivalvia,Veneroida,,CF
Dreissena polymorpha,Dreissena,Dreissena polymorpha,Bivalvia,Veneroida,,CF
Dreissenidae,Dreissenidae,Dreissenidae,Bivalvia,Veneroida,,CF
Drunella,Drunella,Drunella,Insecta,Ephemeroptera,0,CG
Drunella coloradensis,Drunella,Drunella coloradensis,Insecta,Ephemeroptera,0,P
Drunella doddsii,Drunella,Drunella doddsii,Insecta,Ephemeroptera,0,CG
Drunella flavilinea,Drunella,Drunella flavilinea,Insecta,Ephemeroptera,0,CG
Drunella grandis,Drunella,Drunella grandis,Insecta,Ephemeroptera,0,CG
Drunella pelosa,Drunella,Drunella pelosa,Insecta,Ephemeroptera,0,CG
Drunella spinifera,Drunella,Drunella spinifera,Insecta,Ephemeroptera,0,P
Dryopidae,Dryopidae,Dryopidae,Insecta,Coleoptera,5,SH
Dryops,Dryops,Dryops,Insecta,Coleoptera,5,SH
Dryops arizonensis,Dryops arizonensis,Dryops arizonensis,Insecta,Coleoptera,5,SH
Dubiraphia,Dubiraphia,Dubiraphia,Insecta,Coleoptera,6,CG
Dubiraphia brunnescens,Dubiraphia,Dubiraphia,Insecta,Coleoptera,6,CG
Dubiraphia giulianii,Dubiraphia,Dubiraphia,Insecta,Coleoptera,6,CG
Dugesia,Turbellaria,Turbellaria,Turbellaria,Tricladida,4,OM
Dugesia tigrina,Turbellaria,Turbellaria,Turbellaria,Tricladida,4,P
Dysmicohermes,Dysmicohermes,Dysmicohermes,Insecta,Megaloptera,0,P
Dysmicohermes disjunctus,Dysmicohermes,Dysmicohermes,Insecta,Megaloptera,0,P
Dysmicohermes ingens,Dysmicohermes,Dysmicohermes,Insecta,Megaloptera,0,P
Dythemis,Dythemis,Dythemis,Insecta,Odonata,9,P
Dythemis fugax,Dythemis,Dythemis,Insecta,Odonata,9,P
Dythemis nigrescens,Dythemis,Dythemis,Insecta,Odonata,9,P
Dythemis velox,Dythemis,Dythemis,Insecta,Odonata,9,P
Dytiscidae,Dytiscidae,Dytiscidae,Insecta,Coleoptera,5,P
Dytiscinae,Dytiscinae,Dytiscinae,Insecta,Coleoptera,5,P
Dytiscus,Dytiscus,Dytiscus,Insecta,Coleoptera,5,P
Dytiscus alaskanus,Dytiscus,Dytiscus,Insecta,Coleoptera,5,P
Dytiscus circumcinctus,Dytiscus,Dytiscus,Insecta,Coleoptera,5,P
Dytiscus cordieri,Dytiscus,Dytiscus,Insecta,Coleoptera,5,P
Dytiscus dauricus,Dytiscus,Dytiscus,Insecta,Coleoptera,5,P
Dytiscus habilis,Dytiscus,Dytiscus,Insecta,Coleoptera,5,P
Dytiscus hatchi,Dytiscus,Dytiscus,Insecta,Coleoptera,5,P
Dytiscus hybridus,Dytiscus,Dytiscus,Insecta,Coleoptera,5,P
Dytiscus marginicollis,Dytiscus,Dytiscus,Insecta,Coleoptera,5,P
Ecclisocosmoecus,Ecclisocosmoecus,Ecclisocosmoecus,Insecta,Trichoptera,4,SH
Ecclisocosmoecus scylla,Ecclisocosmoecus scylla,Ecclisocosmoecus scylla,Insecta,Trichoptera,4,SH
Ecclisomyia,Ecclisomyia,Ecclisomyia,Insecta,Trichoptera,2,OM
Ecclisomyia bilera,Ecclisomyia,Ecclisomyia,Insecta,Trichoptera,2,OM
Ecclisomyia conspersa,Ecclisomyia,Ecclisomyia,Insecta,Trichoptera,2,OM
Ecclisomyia maculosa,Ecclisomyia,Ecclisomyia,Insecta,Trichoptera,2,OM
Ectoprocta,Ectoprocta,Ectoprocta,,,,CF
Edmundsius,Edmundsius,Edmundsius,Insecta,Ephemeroptera,7,CG
Edmundsius agilis,Edmundsius agilis,Edmundsius agilis,Insecta,Ephemeroptera,7,CG
Edotea montosa,Edotea,Edotea,Malacostraca,Isopoda,,CG
Elliptio,Elliptio,Elliptio,Bivalvia,Unionoida,,CF
Elliptio buckleyi,Elliptio,Elliptio,Bivalvia,Unionoida,,CF
Elmidae,Elmidae,Elmidae,Insecta,Coleoptera,4,CG
Elodes,Elodes,Elodes,Insecta,Coleoptera,,SC
Elodes angusta,Elodes,Elodes,Insecta,Coleoptera,,SC
Elodes apicalis,Elodes,Elodes,Insecta,Coleoptera,,SC
Elodes aquatica,Elodes,Elodes,Insecta,Coleoptera,,SC
Elodes emarginata,Elodes,Elodes,Insecta,Coleoptera,,SC
Elodes impressa,Elodes,Elodes,Insecta,Coleoptera,,SC
Elodes nunenmacheri,Elodes,Elodes,Insecta,Coleoptera,,SC
Empididae,Empididae,Empididae,Insecta,Diptera,6,P
Empidinae,Empididae,Empididae,Insecta,Diptera,6,P
Enallagma,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma anna,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma basidens,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma boreale,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma carunculatum,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma civile,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma clausum,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma cyathigerum,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma ebrium,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma eiseni,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma novaehispaniae,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma praevarum,Enallagma,Enallagma,Insecta,Odonata,9,P
Enallagma semicirculare,Enallagma,Enallagma,Insecta,Odonata,9,P
Enchytraeidae,Oligochaeta,Oligochaeta,Oligochaeta,Tubificida,10,CG
Endochironomus,Chironomidae,Endochironomus,Insecta,Diptera,10,CG
Endochironomus nigricans,Chironomidae,Endochironomus,Insecta,Diptera,10,CG
Endotribelos,Chironomidae,Endotribelos,Insecta,Diptera,6,CG
Endotribelos hesperium,Chironomidae,Endotribelos,Insecta,Diptera,6,CG
Enochrus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus aridus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus aridus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus californicus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus californicus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus carinatus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus carinatus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus cristatus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus cristatus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus cuspidatus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus cuspidatus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus diffusus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus diffusus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus fimbriatus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus fimbriatus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus hamiltoni,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus hamiltoni,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus ochraceus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus ochraceus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus perplexus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus perplexus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus piceus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus piceus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Enochrus pygmaeus,Enochrus,Enochrus,Insecta,Coleoptera,5,CG
Enochrus pygmaeus,Enochrus,Enochrus,Insecta,Coleoptera,5,MH
Eobrachycentrus,Eobrachycentrus,Eobrachycentrus,Insecta,Trichoptera,1,CF
Eobrachycentrus gelidae,Eobrachycentrus gelidae,Eobrachycentrus gelidae,Insecta,Trichoptera,1,CF
Eocosmoecus,Eocosmoecus,Eocosmoecus,Insecta,Trichoptera,0,SH
Eocosmoecus frontalis,Eocosmoecus,Eocosmoecus,Insecta,Trichoptera,0,OM
Eocosmoecus schmidi,Eocosmoecus,Eocosmoecus,Insecta,Trichoptera,0,OM
Epeorus,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Epeorus albertae,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Epeorus deceptivus,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Epeorus dulciana,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Epeorus grandis,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Epeorus hesperus,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Epeorus lagunitas,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Epeorus longimanus,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Epeorus margarita,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Epeorus permagnus,Epeorus,Epeorus,Insecta,Ephemeroptera,0,SC
Ephemerella,Ephemerella,Ephemerella,Insecta,Ephemeroptera,1,CG
Ephemerella alleni,Ephemerella,Ephemerella alleni,Insecta,Ephemeroptera,1,CG
Ephemerella aurivillii,Ephemerella,Ephemerella aurivillii,Insecta,Ephemeroptera,1,CG
Ephemerella dorothea,Ephemerella,Ephemerella dorothea,Insecta,Ephemeroptera,1,CG
Ephemerella dorothea/excrucians,Ephemerella,Ephemerella dorothea/excrucians,Insecta,Ephemeroptera,1,CG
Ephemerella excrucians,Ephemerella,Ephemerella excrucians,Insecta,Ephemeroptera,1,CG
Ephemerella maculata,Ephemerella,Ephemerella maculata,Insecta,Ephemeroptera,1,CG
Ephemerella tibialis,Ephemerella,Ephemerella tibialis,Insecta,Ephemeroptera,2,CG
Ephemerella velmae,Ephemerella,Ephemerella velmae,Insecta,Ephemeroptera,2,CG
Ephemerella verruca,Ephemerella,Ephemerella verruca,Insecta,Ephemeroptera,1,CG
Ephemerellidae,Ephemerellidae,Ephemerellidae,Insecta,Ephemeroptera,1,CG
Ephemeridae,Ephemeridae,Ephemeridae,Insecta,Ephemeroptera,6,CG
Ephydra,Ephydra,Ephydra,Insecta,Diptera,6,SH
Ephydridae,Ephydridae,Ephydridae,Insecta,Diptera,6,CG
Epitheca,Epitheca,Epitheca,Insecta,Odonata,2,P
Epitheca canis,Epitheca,Epitheca,Insecta,Odonata,2,P
Epitheca spinigera,Epitheca,Epitheca,Insecta,Odonata,2,P
Epoicocladius,Chironomidae,Epoicocladius,Insecta,Diptera,,CG
Erebaxonopsis,Erebaxonopsis,Erebaxonopsis,Arachnida,Trombidiformes,5,P
Erebaxonopsis nearctica,Erebaxonopsis,Erebaxonopsis,Arachnida,Trombidiformes,5,P
